name,Life_expectancy,Expected_years_of_schooling,Old_age_pension_recipient,secondary_education_female
Norway,81.5,17.6,100,97.36
Australia,82.5,19.9,83,94.28
Switzerland,82.6,15.7,100,94.99
Netherlands,81.04,17.9,100,87.68
United States,78.94,16.5,92.5,95.14
Germany,80.74,16.3,100,96.29
New Zealand,81.13,19.4,98,94.98
Canada,81.48,15.9,97.7,100
Singapore,82.32,15.4,,74.08
Denmark,79.39,16.9,100,95.54
Ireland,80.71,18.6,90.5,80.52
Sweden,81.82,15.8,100,86.54
Iceland,82.09,18.7,100,91
United Kingdom,80.55,16.2,99.5,99.82
"Korea, Republic of",81.54,17,77.6,77.05
"Hong Kong, China (SAR)",83.38,15.6,72.9,72.23
Japan,83.58,15.3,80.3,87
Liechtenstein,79.89,15.1,,
Israel,81.8,15.7,73.6,84.37
France,81.81,16,100,78.01
Luxembourg,80.55,13.9,90,100
Austria,81.14,15.6,100,100
Belgium,80.55,16.2,84.6,77.5
Finland,80.54,17,100,100
Slovenia,79.59,16.8,95.1,95.78
Italy,82.39,16.3,81.1,71.25
Spain,82.1,17.1,68.2,66.76
Czech Republic,77.69,16.4,100,99.87
Greece,80.77,16.5,77.4,59.51
Brunei Darussalam,78.55,14.5,81.7,66.6
Qatar,78.37,13.8,7.9,66.67
Cyprus,79.84,14,85.2,72.2
Estonia,74.44,16.5,98,100
Saudi Arabia,75.48,15.6,,60.47
Poland,76.41,15.5,96.5,79.42
Lithuania,72.11,16.7,100,89.12
Andorra,81.17,11.7,,49.48
Slovakia,75.4,15,100,99.09
Malta,79.75,14.5,60.5,68.55
United Arab Emirates,76.84,13.3,,73.1
Chile,79.96,15.1,74.49,73.28
Portugal,79.95,16.3,100,47.71
Hungary,74.62,15.4,91.4,97.9
Bahrain,76.61,14.4,40.1,74.4
Cuba,79.26,14.5,,73.9
Kuwait,74.29,14.6,27.3,55.62
Croatia,77.05,14.5,57.6,84.99
Latvia,72.15,15.5,100,98.91
Argentina,76.31,16.4,90.7,57
Uruguay,77.23,15.5,68.17,54.38
Bahamas,75.24,12.6,84.2,91.23
Montenegro,74.82,15.2,52.3,84.16
Belarus,69.93,15.7,93.6,87
Romania,73.83,14.1,98,86.06
Libya,75.33,16.1,43.3,55.6
Oman,76.55,13.6,24.7,47.19
Russian Federation,67.98,14,100,89.6
Bulgaria,73.55,14.3,96.9,93.01
Barbados,75.37,15.4,68.3,89.5
Palau,72.41,13.7,48,
Antigua and Barbuda,75.95,13.8,69.7,
Malaysia,75.02,12.7,19.8,66
Mauritius,73.61,15.6,100,49.37
Trinidad and Tobago,69.87,12.3,98.7,59.39
Lebanon,80.01,13.2,0,38.78
Panama,77.56,12.4,37.3,63.5
"Venezuela, Bolivarian Republic of",74.63,14.2,59.4,56.48
Costa Rica,79.93,13.5,55.8,54.45
Turkey,75.26,14.4,88.1,38.98
Kazakhstan,66.54,15,95.9,99.25
Mexico,77.5,12.8,25.21,55.66
Seychelles,73.19,11.6,100,66.94
Saint Kitts and Nevis,73.57,12.9,44.7,
Sri Lanka,74.29,13.6,17.1,72.73
